first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Lucas,Rodrigues Moura da Silva,4,5,2235,29,477.1,494.6,751.0,172.1,6,0,3,70
Erik,Lamela,2,5,1203,12,284.2,226.2,337.0,84.5,5,0,3,57
Harry,Winks,0,0,2223,31,323.4,361.8,74.0,76.1,6,0,9,52
Victor,Wanyama,0,0,24,2,0.9,1.2,0.0,0.2,0,0,1,47
Moussa,Sissoko,2,1,2451,31,275.7,346.0,189.0,81.0,7,0,8,48
Eric,Dier,0,2,1340,23,100.2,297.2,56.0,45.6,3,0,5,48
Luke,Amos,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,44
Oliver,Skipp,0,0,74,1,1.6,15.2,0.0,1.8,0,0,0,42
Tanguy,Ndombele,2,2,1002,17,194.8,274.2,122.0,59.2,1,0,3,58
Troy,Parrott,0,0,6,0,0.1,0.2,0.0,0.0,0,0,0,43
Giovani,Lo Celso,0,3,1482,18,459.4,303.2,176.0,93.9,6,0,6,73
Ryan,Sessegnon,0,0,341,5,39.9,45.4,34.0,11.9,0,0,0,54
Georges-Kévin,Nkoudou,0,0,2,0,0.0,0.0,18.0,1.8,0,0,0,50
Alfie,Whiteman,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Michel,Vorm,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Brandon,Austin,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Japhet,Tanganga,0,0,525,7,17.2,134.4,20.0,17.1,2,0,1,39
Gedson,Carvalho Fernandes,0,0,62,1,34.3,17.2,20.0,7.2,0,0,0,46
Steven,Bergwijn,3,1,699,9,187.3,174.2,147.0,50.8,2,0,2,69
Harvey,White,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Dennis,Cirkin,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
José,Holebas,0,1,1022,28,208.4,171.4,62.0,44.1,2,0,5,46
Christian,Kabasele,0,2,2250,35,55.3,477.0,164.0,69.9,7,2,1,43
Adam,Masina,1,0,1815,31,201.3,351.2,109.0,66.4,6,0,3,43
Adrian,Mariappa,0,0,1509,33,75.2,216.6,32.0,31.7,3,1,4,41
Francisco,Femenía Far,0,1,2236,46,320.9,363.2,58.0,74.4,5,0,5,42
Craig,Cathcart,0,0,2488,37,34.8,458.0,57.0,55.1,9,0,7,41
Daryl,Janmaat,0,1,606,5,108.4,116.0,46.0,27.1,4,0,1,40
Marc,Navarro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Sebastian,Prödl,0,0,56,0,0.1,1.8,8.0,1.0,0,0,0,39
Troy,Deeney,10,2,2224,39,378.5,536.0,801.0,171.4,6,0,3,62
Gerard,Deulofeu,4,5,2097,33,602.3,458.4,896.0,195.4,8,0,3,61
Andre,Gray,2,1,741,17,129.5,106.2,287.0,51.2,0,0,1,55
Isaac,Success Ajayi,0,0,65,3,13.6,6.2,17.0,3.7,0,0,1,47
