first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards
Geoff,Cameron,0,1,1629,25,165.0,354.4,174,69.6,6,0,1
Erik,Pieters,0,2,3151,50,353.8,583.2,130,107.1,10,0,5
Marc,Muniesa,1,0,650,7,59.7,172.4,50,28.2,3,0,2
Phil,Bardsley,0,0,1168,17,146.7,155.0,51,35.4,3,1,4
Philipp,Wollscheid,0,0,180,5,3.4,36.4,10,5.0,0,0,1
Glen,Johnson,0,0,1957,34,176.1,350.0,101,62.8,6,0,1
Dionatan do Nascimento,Teixeira,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Stephen,Ireland,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Charlie,Adam,1,4,1491,23,477.6,263.4,328,106.7,6,0,7
Glenn,Whelan,0,1,2276,40,336.6,392.6,41,77.0,7,0,5
Jonathan,Walters,4,3,1304,22,198.7,294.0,487,98.0,6,0,1
Marko,Arnautovic,6,7,2713,43,768.7,530.4,861,216.2,9,1,9
Ibrahim,Afellay,0,0,384,5,55.2,32.0,63,14.8,0,0,0
Xherdan,Shaqiri,4,2,1699,21,672.9,293.6,453,141.6,8,0,2
Giannelli,Imbula,0,1,796,20,111.3,65.0,44,22.0,2,0,1
Bojan,Krkic,3,0,475,12,84.5,125.4,114,32.1,0,0,1
Peter,Crouch,7,3,1343,23,260.9,346.6,664,126.8,4,0,3
Mame Biram,Diouf,1,2,1385,26,148.6,198.0,340,68.4,5,0,3
Jose Luis,Mato Sanmart�n,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Vito,Mannone,0,0,810,19,0.0,247.0,0,24.8,2,0,0
Jordan,Pickford,0,0,2610,50,40.0,933.0,0,97.4,4,0,0
Younes,Kaboul,2,0,1910,36,31.5,443.2,243,71.8,4,0,2
John,O'Shea,0,1,2158,42,21.3,453.4,98,57.0,3,0,5
Billy,Jones,1,0,2270,49,387.5,476.8,270,113.5,5,0,8
Patrick,van Aanholt,5,1,2498,53,534.2,616.0,383,153.5,5,0,3
Adam,Matthews,0,0,0,0,0.0,0.0,0,0.0,0,0,0
Lamine,Kon�,1,0,2545,46,35.6,624.0,339,100.2,5,0,4
Jan,Kirchhoff,0,1,433,11,30.1,53.6,26,10.9,0,0,1
Lee,Cattermole,0,0,633,13,47.3,65.0,12,12.6,0,0,4
Sebastian,Larsson,0,3,1468,35,402.5,206.0,109,71.4,3,1,4
Jack,Rodwell,0,1,1492,32,131.0,235.0,233,60.0,2,0,4
Jeremain,Lens,0,0,69,1,31.3,14.2,52,9.7,0,0,0
Wahbi,Khazri,1,0,849,21,332.2,112.2,203,64.9,1,0,6
Duncan,Watmore,0,5,1025,20,159.7,118.6,241,51.4,2,0,1
Fabio,Borini,2,0,1742,34,257.3,217.0,406,87.4,5,0,5
Jermain,Defoe,15,3,3322,63,274.5,630.4,1379,227.0,6,0,1
Lukasz,Fabianski,0,0,3330,69,0.1,780.4,0,78.1,8,0,1
Kristoffer,Nordfeldt,0,0,90,1,0.0,24.8,0,2.5,0,0,0
Kyle,Naughton,1,0,2714,48,407.5,589.0,216,121.3,8,0,5
Ashley,Williams,1,3,3160,40,119.1,927.6,289,133.9,13,1,7
Neil,Taylor,0,1,920,26,84.1,149.2,12,24.6,2,0,1
Angel,Rangel,1,0,831,24,122.7,221.8,54,40.0,1,0,1
