first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Reece,Oxford,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Ryan,Fredericks,1,0,1084,16,77.2,254.8,85.0,42.0,3,0,5,45
Issa,Diop,1,0,2970,43,52.3,733.0,162.0,94.8,7,0,4,42
Arthur,Masuaku,0,2,1757,29,212.0,434.4,55.0,70.3,4,0,2,42
Mark,Noble,5,5,2289,31,359.8,521.4,196.0,107.6,7,1,6,48
Pedro,Obiang,0,2,1116,21,105.9,219.2,112.0,43.6,2,0,0,42
Manuel,Lanzini,1,2,685,12,118.2,141.0,165.0,42.4,2,0,2,64
Michail,Antonio,6,8,2093,30,346.2,482.0,852.0,167.0,7,0,3,68
Edimilson,Fernandes,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Marko,Arnautovic,10,5,1988,34,500.6,551.6,946.0,199.2,4,0,3,67
Andy,Carroll,0,0,454,7,51.4,41.8,169.0,25.8,0,0,2,54
Javier,Hernández Balcázar,7,4,1326,20,112.0,301.0,528.0,93.4,6,0,2,61
Jordan,Hugill,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50
Jack,Wilshere,0,2,388,10,74.0,72.0,17.0,16.3,1,0,2,48
Andriy,Yarmolenko,2,1,456,6,84.6,86.0,122.0,29.1,1,0,2,67
Fabián,Balbuena,1,0,2013,32,40.9,534.6,201.0,77.8,5,0,2,42
Felipe Anderson,Pereira Gomes,9,6,3045,49,1042.4,882.2,799.0,272.2,7,0,3,68
Robert,Snodgrass,2,5,2215,33,976.0,460.8,380.0,181.5,5,0,10,50
Lucas,Pérez,3,0,465,13,110.5,136.8,131.0,37.7,0,0,0,62
Carlos,Sánchez,0,0,240,4,28.8,24.6,24.0,7.8,0,0,0,43
Grady,Diangana,0,1,600,13,174.5,115.0,175.0,46.2,2,0,0,45
Joe,Powell,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Conor,Coventry,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Alexandre Nascimento,Costa Silva,0,0,17,0,10.3,2.0,36.0,4.8,0,0,0,45
Samir,Nasri,0,2,243,2,86.6,49.8,28.0,16.4,1,0,0,49
Ben,Johnson,0,0,62,1,0.4,7.8,0.0,0.8,0,0,0,40
Nathan,Holland,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
John,Ruddy,0,0,90,0,0.0,26.6,0.0,2.7,1,0,0,42
Will,Norris,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,39
Willy,Boly,4,0,3168,43,146.9,954.2,279.0,137.7,8,1,2,47
Barry,Douglas,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,50
Matt,Doherty,4,7,3141,41,547.4,758.8,711.0,201.6,8,0,5,53
Romain,Saïss,2,0,1142,17,70.9,363.6,129.0,56.2,3,0,7,42
Ryan,Bennett,1,0,3060,38,129.7,566.4,172.0,86.9,9,0,12,41
Danny,Batth,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Roderick Jefferson,Gonçalves Miranda,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Conor,Coady,0,0,3420,46,26.2,593.2,0.0,61.8,9,0,5,45
Rúben Gonçalo,Silva Nascimento Vinagre,0,0,703,9,113.7,117.0,69.0,30.0,1,0,1,43
Diogo,Jota,9,8,2352,29,402.5,559.6,888.0,185.0,10,0,11,63
Rúben Diogo,da Silva Neves,4,3,3006,43,365.9,698.2,402.0,146.8,8,0,8,49
Ivan,Cavaleiro,3,1,677,11,313.6,198.0,156.0,66.0,1,0,1,52
Hélder,Costa,1,2,1333,19,264.0,162.8,280.0,70.9,5,0,3,46
Bright,Enobakhare,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Raúl,Jiménez,13,10,3112,40,648.5,788.8,1428.0,285.4,12,0,4,69
Bonatini Lohner Maia,Bonatini,0,1,130,0,30.9,24.6,90.0,13.6,0,0,0,46
Morgan,Gibbs-White,0,1,645,12,181.1,73.2,72.0,32.5,4,0,1,43
Rafa,Mir,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Rui Pedro,dos Santos Patrício,0,0,3330,46,0.0,695.0,0.0,69.1,8,0,0,45
João Filipe Iria,Santos Moutinho,1,8,3030,39,1245.8,812.6,102.0,216.4,9,0,4,51
Jonathan,Castro Otto,1,3,2772,39,447.3,523.4,361.0,133.3,8,0,6,43
Adama,Traoré,1,1,884,13,271.3,223.4,265.0,75.8,1,0,1,51
Leander,Dendoncker,2,0,1465,21,126.6,334.8,288.0,75.1,3,0,1,43
Kortney,Hause,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Ryan John,Giles,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Max,Kilman,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,40
Cameron,John,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
